"feedback_id";"customer_id";"date_submitted";"feedback_text";"satisfaction_score";"contacted_agent";"referred_claim"
"FDB90000";"CUST11838";"2020-08-07";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90001";"CUST12252";"2021-01-13";"I'm not happy with the premium charged.";1;"No";"Yes"
"FDB90002";"CUST10495";"2022-02-16";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90003";"CUST11182";"2021-02-16";"Claim process could be faster.";2;"No";"Yes"
"FDB90004";"CUST11047";"2021-04-09";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90005";"CUST12167";"2020-01-05";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90006";"CUST10308";"2023-11-25";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90007";"CUST10644";"2023-02-06";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90008";"CUST12331";"2022-02-01";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90009";"CUST12252";"2020-02-27";"Excellent customer service support.";4;"No";"No"
"FDB90010";"CUST10090";"2021-02-17";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90011";"CUST10985";"2023-11-22";"I'm not happy with the premium charged.";1;"Yes";"No"
"FDB90012";"CUST12396";"2020-05-09";"Claim process could be faster.";3;"No";"No"
"FDB90013";"CUST11030";"2023-10-11";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90014";"CUST10100";"2022-01-22";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90015";"CUST10685";"2022-11-11";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90016";"CUST12335";"2022-02-08";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90017";"CUST11183";"2021-11-28";"I'm not happy with the premium charged.";3;"No";"Yes"
"FDB90018";"CUST11585";"2022-09-08";"Need more clarity on policy coverage.";1;"Yes";"Yes"
"FDB90019";"CUST11327";"2022-09-12";"Claim process could be faster.";2;"Yes";"No"
"FDB90020";"CUST12097";"2022-03-02";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90021";"CUST12366";"2022-06-24";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90022";"CUST12090";"2022-04-08";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90023";"CUST11778";"2023-01-20";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90024";"CUST10942";"2020-02-17";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90025";"CUST11891";"2021-08-11";"Had to wait too long for claim approval.";1;"Yes";"No"
"FDB90026";"CUST11003";"2023-06-19";"Claim process could be faster.";2;"Yes";"No"
"FDB90027";"CUST10908";"2020-12-14";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90028";"CUST11451";"2022-01-23";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90029";"CUST11105";"2020-12-25";"Smooth experience with no issues.";4;"No";"No"
"FDB90030";"CUST10222";"2022-08-09";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90031";"CUST11815";"2021-02-25";"Smooth experience with no issues.";4;"Yes";"No"
"FDB90032";"CUST12091";"2020-11-20";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90033";"CUST11369";"2021-04-19";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90034";"CUST10505";"2021-03-16";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90035";"CUST10754";"2020-02-24";"Claim process could be faster.";3;"No";"Yes"
"FDB90036";"CUST11612";"2023-01-16";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90037";"CUST10825";"2023-05-12";"Claim process could be faster.";2;"Yes";"No"
"FDB90038";"CUST10916";"2022-10-25";"Frustrated with repeated documentation requests.";3;"No";"No"
"FDB90039";"CUST12404";"2022-01-07";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90040";"CUST10609";"2020-09-06";"I'm not happy with the premium charged.";3;"No";"No"
"FDB90041";"CUST10679";"2021-01-09";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90042";"CUST10659";"2023-07-16";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90043";"CUST11140";"2021-08-05";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90044";"CUST10960";"2023-03-05";"Frustrated with repeated documentation requests.";1;"No";"Yes"
"FDB90045";"CUST11860";"2020-08-14";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90046";"CUST10500";"2023-10-23";"Smooth experience with no issues.";5;"No";"No"
"FDB90047";"CUST10911";"2020-09-01";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90048";"CUST11613";"2021-06-07";"Very satisfied with the claim process.";4;"No";"Yes"
"FDB90049";"CUST10476";"2021-02-11";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90050";"CUST12029";"2023-08-22";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90051";"CUST11562";"2020-09-30";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90052";"CUST12432";"2020-08-28";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90053";"CUST11585";"2023-06-07";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90054";"CUST10695";"2023-03-03";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90055";"CUST12303";"2023-07-26";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90056";"CUST11951";"2022-02-05";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90057";"CUST12066";"2020-09-11";"Excellent customer service support.";5;"Yes";"No"
"FDB90058";"CUST11059";"2022-07-28";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90059";"CUST10557";"2020-09-09";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90060";"CUST11982";"2022-11-09";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90061";"CUST12153";"2021-03-24";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90062";"CUST11571";"2023-07-13";"I'm not happy with the premium charged.";3;"No";"No"
"FDB90063";"CUST11732";"2023-07-22";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90064";"CUST11330";"2021-06-25";"Need more clarity on policy coverage.";1;"Yes";"No"
"FDB90065";"CUST10095";"2023-03-05";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90066";"CUST12060";"2023-05-04";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90067";"CUST11545";"2020-12-13";"Need more clarity on policy coverage.";1;"Yes";"No"
"FDB90068";"CUST10121";"2021-01-07";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90069";"CUST12010";"2021-10-16";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90070";"CUST10113";"2020-03-18";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90071";"CUST10300";"2022-07-15";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90072";"CUST10206";"2022-07-06";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90073";"CUST11056";"2023-11-07";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90074";"CUST12114";"2021-03-17";"Very satisfied with the claim process.";5;"Yes";"Yes"
